iteration,Cd,Cl,Cd_pressure,Cd_friction
45,5.01338520e-01,-2.02006214e-01,4.90449119e-01,1.08894019e-02
46,4.97314663e-01,-2.11115391e-01,4.86478792e-01,1.08358706e-02
47,4.94689618e-01,-2.18118745e-01,4.83869081e-01,1.08205368e-02
48,4.90248476e-01,-2.25674384e-01,4.79467662e-01,1.07808137e-02
49,4.86636953e-01,-2.33018542e-01,4.75911860e-01,1.07250925e-02
50,4.83207071e-01,-2.41390778e-01,4.72486035e-01,1.07210363e-02
51,4.79653683e-01,-2.50694535e-01,4.68913148e-01,1.07405357e-02
52,4.80601965e-01,-2.59487006e-01,4.69840602e-01,1.07613635e-02
53,4.79090578e-01,-2.69518834e-01,4.68362729e-01,1.07278487e-02
54,4.85027517e-01,-2.76759735e-01,4.74339506e-01,1.06880106e-02
55,4.80854446e-01,-2.86903258e-01,4.70202680e-01,1.06517661e-02
56,4.90189574e-01,-2.93065912e-01,4.79553187e-01,1.06363874e-02
57,4.86432906e-01,-3.01874239e-01,4.75826083e-01,1.06068226e-02
58,4.95724201e-01,-3.07000624e-01,4.85141182e-01,1.05830190e-02
59,4.94075264e-01,-3.14315259e-01,4.83582097e-01,1.04931670e-02
60,4.99675899e-01,-3.19205317e-01,4.89237533e-01,1.04383660e-02
61,4.99708757e-01,-3.24429123e-01,4.89285136e-01,1.04236214e-02
62,5.00318303e-01,-3.30377850e-01,4.89896153e-01,1.04221491e-02
63,5.07816726e-01,-3.30742015e-01,4.97324976e-01,1.04917503e-02
64,5.09911975e-01,-3.34492675e-01,4.99320989e-01,1.05909861e-02
65,5.15663581e-01,-3.32226868e-01,5.05018769e-01,1.06448116e-02
66,5.16450986e-01,-3.33239905e-01,5.05765307e-01,1.06856784e-02
67,5.19771718e-01,-3.29185407e-01,5.09040964e-01,1.07307536e-02
68,5.20715276e-01,-3.26722256e-01,5.09946894e-01,1.07683817e-02
69,5.22589196e-01,-3.21298751e-01,5.11817766e-01,1.07714300e-02
70,5.23742983e-01,-3.15405792e-01,5.12951727e-01,1.07912560e-02
71,5.23964520e-01,-3.07977580e-01,5.13158444e-01,1.08060764e-02
72,5.22719896e-01,-2.99262047e-01,5.11904950e-01,1.08149466e-02
73,5.21157188e-01,-2.89763961e-01,5.10348139e-01,1.08090489e-02
74,5.19033239e-01,-2.77923937e-01,5.08218407e-01,1.08148324e-02
75,5.17308562e-01,-2.66882801e-01,5.06488796e-01,1.08197662e-02
76,5.12776249e-01,-2.54000867e-01,5.01973402e-01,1.08028469e-02
77,5.11966344e-01,-2.41153717e-01,5.01186258e-01,1.07800860e-02
78,5.08985807e-01,-2.26098104e-01,4.98230899e-01,1.07549082e-02
79,5.07862958e-01,-2.11137670e-01,4.97137801e-01,1.07251568e-02
80,5.03927667e-01,-1.94703130e-01,4.93247472e-01,1.06801955e-02
81,5.02297853e-01,-1.78570110e-01,4.91687553e-01,1.06103001e-02
82,4.97299162e-01,-1.62296924e-01,4.86785888e-01,1.05132746e-02
83,4.95268457e-01,-1.46102596e-01,4.84837007e-01,1.04314495e-02
84,4.90204518e-01,-1.30495418e-01,4.79852079e-01,1.03524389e-02
85,4.88812236e-01,-1.14950099e-01,4.78525292e-01,1.02869439e-02
86,4.84527309e-01,-1.00820152e-01,4.74300522e-01,1.02267867e-02
87,4.83809587e-01,-8.69173004e-02,4.73655438e-01,1.01541486e-02
88,4.80488225e-01,-7.43591786e-02,4.70439431e-01,1.00487943e-02
89,4.79887896e-01,-6.19318038e-02,4.69872365e-01,1.00155309e-02
90,4.77664120e-01,-5.10038003e-02,4.67677308e-01,9.98681178e-03
91,4.77381481e-01,-4.08776515e-02,4.67422607e-01,9.95887443e-03
92,4.75654406e-01,-3.20591618e-02,4.65764642e-01,9.88976371e-03
93,4.75002631e-01,-2.43587119e-02,4.65196006e-01,9.80662574e-03
94,4.73190357e-01,-1.77902517e-02,4.63472816e-01,9.71754094e-03
95,4.72301440e-01,-1.21846738e-02,4.62670318e-01,9.63112218e-03
96,4.70592224e-01,-7.08858207e-03,4.61044067e-01,9.54815620e-03
97,4.69584426e-01,-3.13990499e-03,4.60137483e-01,9.44694310e-03
98,4.68470027e-01,3.72543172e-04,4.59134251e-01,9.33577576e-03
99,4.67455730e-01,3.02090289e-03,4.58279178e-01,9.17655196e-03
100,4.66606899e-01,5.28576177e-03,4.57509357e-01,9.09754210e-03
101,4.66062849e-01,6.91787108e-03,4.57038750e-01,9.02409823e-03
102,4.65559406e-01,8.01179658e-03,4.56609010e-01,8.95039526e-03
103,4.65076980e-01,8.45191982e-03,4.56204338e-01,8.87264180e-03
104,4.65565000e-01,8.84082291e-03,4.56775958e-01,8.78904229e-03
105,4.66995938e-01,8.61369395e-03,4.58285481e-01,8.71045622e-03
106,4.68301989e-01,8.59859393e-03,4.59662959e-01,8.63903027e-03
107,4.69369988e-01,8.23674638e-03,4.60809962e-01,8.56002563e-03
108,4.69773604e-01,8.10421765e-03,4.61287516e-01,8.48608728e-03
109,4.70284283e-01,7.76768625e-03,4.61872400e-01,8.41188368e-03
110,4.70813487e-01,7.28299099e-03,4.62475509e-01,8.33797826e-03
111,4.71786352e-01,7.05234233e-03,4.63518978e-01,8.26737364e-03
112,4.72025049e-01,6.32433017e-03,4.63820599e-01,8.20444998e-03
113,4.72798055e-01,6.06659935e-03,4.64582356e-01,8.21569862e-03
114,4.73043030e-01,4.94535251e-03,4.64878427e-01,8.16460307e-03
115,4.73663402e-01,4.48842406e-03,4.65560156e-01,8.10324550e-03
116,4.73995978e-01,3.22384187e-03,4.65955334e-01,8.04064429e-03
117,4.74630730e-01,2.68974733e-03,4.66654932e-01,7.97579734e-03
118,4.75486866e-01,1.58099740e-03,4.67576940e-01,7.90992594e-03
119,4.76611420e-01,7.46304362e-04,4.68776328e-01,7.83509205e-03
120,4.77937148e-01,-4.51710414e-04,4.70177777e-01,7.75937102e-03
121,4.79342200e-01,-1.78710252e-03,4.71630429e-01,7.71177097e-03
122,4.80704734e-01,-3.23692224e-03,4.73034673e-01,7.67006156e-03
123,4.82114568e-01,-4.78180105e-03,4.74486061e-01,7.62850711e-03
124,4.83321384e-01,-6.17329258e-03,4.75737762e-01,7.58362217e-03
125,4.84396323e-01,-7.59031482e-03,4.76857296e-01,7.53902752e-03
126,4.85253919e-01,-8.82967521e-03,4.77750633e-01,7.50328684e-03
127,4.85908060e-01,-9.90509567e-03,4.78429060e-01,7.47899947e-03
128,4.86341081e-01,-1.08360708e-02,4.78876758e-01,7.46432296e-03
129,4.86502409e-01,-1.16959877e-02,4.79045069e-01,7.45733991e-03
130,4.86720425e-01,-1.20346462e-02,4.79263735e-01,7.45668993e-03
131,4.86712848e-01,-1.23031407e-02,4.79252054e-01,7.46079424e-03
132,4.86902381e-01,-1.21019350e-02,4.79433298e-01,7.46908247e-03
133,4.86906002e-01,-1.18408970e-02,4.79425291e-01,7.48071084e-03
134,4.86921129e-01,-1.10794293e-02,4.79426090e-01,7.49503859e-03
135,4.87071703e-01,-1.04556989e-02,4.79557303e-01,7.51439967e-03
136,4.87283303e-01,-9.63427273e-03,4.79747656e-01,7.53564742e-03
137,4.87424301e-01,-8.86683818e-03,4.79868486e-01,7.55581590e-03
138,4.87352879e-01,-7.84769872e-03,4.79778427e-01,7.57445205e-03
139,4.87231506e-01,-6.85216898e-03,4.79638535e-01,7.59297142e-03
140,4.86998347e-01,-5.64497848e-03,4.79477883e-01,7.52046462e-03
141,4.86761337e-01,-4.30300895e-03,4.79243800e-01,7.51753737e-03
142,4.86770246e-01,-2.77640312e-03,4.79221055e-01,7.54919106e-03
143,4.86603704e-01,-1.36774708e-03,4.79025172e-01,7.57853142e-03
144,4.86918000e-01,1.17552993e-04,4.79318709e-01,7.59929129e-03
145,4.87120433e-01,1.58359369e-03,4.79505118e-01,7.61531572e-03
146,4.87514557e-01,3.00902525e-03,4.79883644e-01,7.63091294e-03
147,4.88224652e-01,4.56694489e-03,4.80575025e-01,7.64962662e-03
148,4.88756177e-01,5.92461390e-03,4.81085069e-01,7.67110848e-03
149,4.89677971e-01,7.42826169e-03,4.81977936e-01,7.70003568e-03
150,4.90522337e-01,8.82771335e-03,4.82759644e-01,7.76269339e-03
151,4.91253391e-01,1.00038247e-02,4.83454075e-01,7.79931578e-03
152,4.91854369e-01,1.11524587e-02,4.84046009e-01,7.80836035e-03
153,4.92504925e-01,1.21566470e-02,4.84702327e-01,7.80259804e-03
154,4.93010535e-01,1.30602502e-02,4.85223699e-01,7.78683591e-03
155,4.93224550e-01,1.37835492e-02,4.85457940e-01,7.76660907e-03
156,4.93028882e-01,1.43744983e-02,4.85290133e-01,7.73874904e-03
157,4.92285845e-01,1.47076959e-02,4.84588030e-01,7.69781557e-03
158,4.90891087e-01,1.49760035e-02,4.83240324e-01,7.65076346e-03
159,4.88983834e-01,1.50022628e-02,4.81360388e-01,7.62344647e-03
160,4.86892712e-01,1.50710558e-02,4.79294514e-01,7.59819713e-03
161,4.84682435e-01,1.50177980e-02,4.77121662e-01,7.56077362e-03
162,4.82373805e-01,1.51493216e-02,4.74853222e-01,7.52058299e-03
163,4.79990414e-01,1.50484599e-02,4.72508765e-01,7.48164947e-03
164,4.77590081e-01,1.51175117e-02,4.70151745e-01,7.43833652e-03
165,4.75228887e-01,1.50039973e-02,4.67844154e-01,7.38473335e-03
166,4.72938613e-01,1.49541648e-02,4.65613597e-01,7.32501633e-03
167,4.70806019e-01,1.45633728e-02,4.63545709e-01,7.26031039e-03
168,4.68787577e-01,1.42435789e-02,4.61603039e-01,7.18453725e-03
169,4.67145552e-01,1.36118844e-02,4.60041868e-01,7.10368457e-03
170,4.65945690e-01,1.29640358e-02,4.58911285e-01,7.03440447e-03
171,4.65200602e-01,1.18712542e-02,4.58146022e-01,7.05458036e-03
172,4.64561442e-01,1.06361651e-02,4.57568464e-01,6.99297790e-03
173,4.64119165e-01,9.07563125e-03,4.57186014e-01,6.93315077e-03
174,4.63756313e-01,7.59853787e-03,4.56879274e-01,6.87703953e-03
175,4.63494128e-01,5.96926424e-03,4.56710489e-01,6.78363962e-03
176,4.63365470e-01,4.45648335e-03,4.56644765e-01,6.72070487e-03
177,4.63264536e-01,2.84064706e-03,4.56566590e-01,6.69794670e-03
178,4.63031622e-01,1.37523986e-03,4.56347672e-01,6.68394970e-03
179,4.62501585e-01,-1.56544701e-04,4.55824972e-01,6.67661298e-03
180,4.61820116e-01,-1.44216916e-03,4.55142142e-01,6.67797412e-03
181,4.61030871e-01,-2.74629839e-03,4.54339891e-01,6.69097937e-03
182,4.60233354e-01,-3.96341873e-03,4.53524079e-01,6.70927468e-03
183,4.59395268e-01,-5.26506272e-03,4.52672994e-01,6.72227390e-03
184,4.58632452e-01,-6.39620389e-03,4.51906628e-01,6.72582392e-03
185,4.57824566e-01,-7.41850649e-03,4.51101073e-01,6.72349305e-03
186,4.57085877e-01,-8.23074240e-03,4.50368413e-01,6.71746337e-03
187,4.56267954e-01,-8.88234609e-03,4.49559930e-01,6.70802469e-03
188,4.55410926e-01,-9.38111658e-03,4.48718539e-01,6.69238697e-03
189,4.54612600e-01,-9.78806308e-03,4.47945553e-01,6.66704779e-03
190,4.53980516e-01,-1.00816743e-02,4.47353968e-01,6.62654841e-03
191,4.53804400e-01,-1.02617819e-02,4.47227791e-01,6.57660920e-03
192,4.54017321e-01,-1.03541333e-02,4.47479208e-01,6.53811273e-03
193,4.54337029e-01,-1.04413764e-02,4.47833079e-01,6.50394980e-03
194,4.54744565e-01,-1.04775741e-02,4.48276920e-01,6.46764475e-03
195,4.55150653e-01,-1.04237575e-02,4.48723783e-01,6.42687056e-03
196,4.55601233e-01,-1.02500436e-02,4.49230646e-01,6.37058712e-03
197,4.56102696e-01,-9.98398858e-03,4.49823393e-01,6.27930351e-03
198,4.56692775e-01,-9.64491826e-03,4.50471220e-01,6.22155435e-03
199,4.57396682e-01,-9.26681717e-03,4.51236582e-01,6.16009991e-03
200,4.58180529e-01,-8.81801613e-03,4.52087711e-01,6.09281832e-03
201,4.59068240e-01,-8.32225172e-03,4.53049325e-01,6.01891516e-03
202,4.60060509e-01,-7.76682812e-03,4.54121501e-01,5.93900742e-03
203,4.61045710e-01,-7.19274850e-03,4.55196272e-01,5.84943896e-03
204,4.61953312e-01,-6.58917116e-03,4.56190336e-01,5.76297578e-03
205,4.62690447e-01,-5.95058078e-03,4.56997697e-01,5.69275027e-03
206,4.63254279e-01,-5.20639706e-03,4.57628637e-01,5.62564260e-03
207,4.63713523e-01,-4.42745630e-03,4.58159376e-01,5.55414747e-03
208,4.64066830e-01,-3.61981118e-03,4.58596458e-01,5.47037234e-03
209,4.64259988e-01,-2.82061559e-03,4.58875876e-01,5.38411134e-03
210,4.64308871e-01,-2.02420159e-03,4.58999213e-01,5.30965792e-03
211,4.64218126e-01,-1.25287239e-03,4.58986037e-01,5.23208934e-03
212,4.63982587e-01,-5.41526582e-04,4.58827834e-01,5.15475282e-03
213,4.63669327e-01,1.18142111e-04,4.58585668e-01,5.08365931e-03
214,4.63323753e-01,7.55571328e-04,4.58302534e-01,5.02121839e-03
215,4.62959888e-01,1.38452669e-03,4.57993256e-01,4.96663273e-03
216,4.62447100e-01,1.81790313e-03,4.57528206e-01,4.91889462e-03
217,4.61910905e-01,2.43317288e-03,4.57036471e-01,4.87443393e-03
218,4.61367831e-01,3.07028822e-03,4.56547685e-01,4.82014529e-03
219,4.60691301e-01,3.77020343e-03,4.55933101e-01,4.75820045e-03
220,4.59888388e-01,4.43147618e-03,4.55185944e-01,4.70244423e-03
221,4.58935419e-01,5.09402116e-03,4.54276866e-01,4.65855323e-03
222,4.57909532e-01,5.70584185e-03,4.53294256e-01,4.61527582e-03
223,4.56805944e-01,6.37003598e-03,4.52235344e-01,4.57060001e-03
224,4.55732089e-01,7.00372939e-03,4.51206828e-01,4.52526041e-03
225,4.54627653e-01,7.76621134e-03,4.50147642e-01,4.48001080e-03
226,4.53618152e-01,8.44961863e-03,4.49185235e-01,4.43291715e-03
227,4.52530875e-01,9.21820879e-03,4.48166313e-01,4.36456244e-03
228,4.51507249e-01,9.84425454e-03,4.47211053e-01,4.29619616e-03
229,4.50444629e-01,1.05825159e-02,4.46190069e-01,4.25455959e-03
230,4.49488731e-01,1.12065435e-02,4.45267567e-01,4.22116435e-03
231,4.48604360e-01,1.19300802e-02,4.44415082e-01,4.18927829e-03
232,4.47890193e-01,1.25418314e-02,4.43733284e-01,4.15690902e-03
233,4.47309673e-01,1.32703952e-02,4.43186086e-01,4.12358715e-03
234,4.46923043e-01,1.39033666e-02,4.42833583e-01,4.08946008e-03
235,4.46678808e-01,1.46414655e-02,4.42623847e-01,4.05496106e-03
236,4.46588139e-01,1.52897743e-02,4.42567520e-01,4.02061900e-03
237,4.46603012e-01,1.60316881e-02,4.42616101e-01,3.98691093e-03
238,4.46705615e-01,1.66713838e-02,4.42751729e-01,3.95388615e-03
239,4.46900573e-01,1.73638287e-02,4.42978568e-01,3.92200427e-03
240,4.47174943e-01,1.79593714e-02,4.43283506e-01,3.89143709e-03
241,4.47497803e-01,1.85961647e-02,4.43635526e-01,3.86227667e-03
242,4.47813297e-01,1.91755409e-02,4.43978842e-01,3.83445505e-03
243,4.48118720e-01,1.98120372e-02,4.44310909e-01,3.80781033e-03
244,4.48416724e-01,2.04266258e-02,4.44634207e-01,3.78251679e-03
245,4.48704129e-01,2.11016766e-02,4.44945550e-01,3.75857910e-03
246,4.48957129e-01,2.17791403e-02,4.45221148e-01,3.73598055e-03
247,4.49153105e-01,2.25168943e-02,4.45437539e-01,3.71556522e-03
248,4.49306778e-01,2.32831102e-02,4.45608909e-01,3.69786944e-03
249,4.49430447e-01,2.41083370e-02,4.45747367e-01,3.68308052e-03
250,4.49517879e-01,2.49706310e-02,4.45846907e-01,3.67097206e-03
251,4.49550471e-01,2.58891710e-02,4.45889263e-01,3.66120791e-03
252,4.49537847e-01,2.68431172e-02,4.45884399e-01,3.65344774e-03
253,4.49457361e-01,2.78305925e-02,4.45810045e-01,3.64731659e-03
254,4.49318943e-01,2.88322397e-02,4.45676275e-01,3.64266893e-03
255,4.49116578e-01,2.98496270e-02,4.45477194e-01,3.63938377e-03
256,4.48896311e-01,3.08790539e-02,4.45258948e-01,3.63736289e-03
257,4.48624267e-01,3.19215517e-02,4.44987991e-01,3.63627556e-03
258,4.48308795e-01,3.29637132e-02,4.44672797e-01,3.63599795e-03
259,4.47952899e-01,3.40335864e-02,4.44316385e-01,3.63651424e-03
260,4.47557466e-01,3.50826477e-02,4.43919639e-01,3.63782730e-03
261,4.47128853e-01,3.61447685e-02,4.43488752e-01,3.64010052e-03
262,4.46686146e-01,3.72084462e-02,4.43042884e-01,3.64326189e-03
263,4.46220252e-01,3.83024045e-02,4.42572961e-01,3.64729089e-03
264,4.45744225e-01,3.94032307e-02,4.42091891e-01,3.65233417e-03
265,4.45274564e-01,4.05308850e-02,4.41616200e-01,3.65836336e-03
266,4.44827424e-01,4.16584139e-02,4.41162017e-01,3.66540745e-03
267,4.44388692e-01,4.28000254e-02,4.40715236e-01,3.67345583e-03
268,4.43968741e-01,4.39359067e-02,4.40286299e-01,3.68244163e-03
269,4.43564277e-01,4.50838219e-02,4.39871524e-01,3.69275296e-03
270,4.43195766e-01,4.62247643e-02,4.39491244e-01,3.70452185e-03
271,4.42845723e-01,4.73598949e-02,4.39128531e-01,3.71719189e-03
272,4.42523799e-01,4.84776799e-02,4.38793307e-01,3.73049180e-03
273,4.42214520e-01,4.95827165e-02,4.38470021e-01,3.74449870e-03
274,4.41930947e-01,5.06683762e-02,4.38171878e-01,3.75906934e-03
275,4.41652240e-01,5.17343742e-02,4.37878152e-01,3.77408827e-03
276,4.41400657e-01,5.27766254e-02,4.37611293e-01,3.78936367e-03
277,4.41152325e-01,5.38016820e-02,4.37347575e-01,3.80475054e-03
278,4.40931139e-01,5.48077856e-02,4.37110935e-01,3.82020427e-03
279,4.40715681e-01,5.58093992e-02,4.36879749e-01,3.83593170e-03
280,4.40545048e-01,5.67223090e-02,4.36692891e-01,3.85215745e-03
281,4.40392921e-01,5.76166880e-02,4.36524223e-01,3.86869851e-03
282,4.40323843e-01,5.84842556e-02,4.36438631e-01,3.88521244e-03
283,4.40248525e-01,5.93185996e-02,4.36346977e-01,3.90154800e-03
284,4.40209481e-01,6.00898767e-02,4.36291692e-01,3.91778978e-03
285,4.40175905e-01,6.08973716e-02,4.36242117e-01,3.93378874e-03
286,4.40177109e-01,6.16263129e-02,4.36227671e-01,3.94943785e-03
287,4.40188220e-01,6.24026855e-02,4.36223596e-01,3.96462433e-03
288,4.40261637e-01,6.31045335e-02,4.36282082e-01,3.97955536e-03
289,4.40349197e-01,6.38532796e-02,4.36354853e-01,3.99434394e-03
290,4.40506461e-01,6.45371378e-02,4.36497400e-01,4.00906066e-03
291,4.40654281e-01,6.52678589e-02,4.36630644e-01,4.02363714e-03
292,4.40883655e-01,6.59556860e-02,4.36845464e-01,4.03819123e-03
293,4.41046316e-01,6.66954892e-02,4.36993971e-01,4.05234444e-03
294,4.41270977e-01,6.74069448e-02,4.37204799e-01,4.06617791e-03
295,4.41412824e-01,6.81524813e-02,4.37333343e-01,4.07948020e-03
296,4.41606621e-01,6.88555665e-02,4.37514151e-01,4.09247012e-03
297,4.41723084e-01,6.95875798e-02,4.37618015e-01,4.10506976e-03
298,4.41899717e-01,7.02914485e-02,4.37782280e-01,4.11743756e-03
299,4.42032266e-01,7.10289700e-02,4.37902741e-01,4.12952428e-03
300,4.42215953e-01,7.17497833e-02,4.38074570e-01,4.14138352e-03
301,4.42361598e-01,7.25098529e-02,4.38208637e-01,4.15296066e-03
302,4.42556523e-01,7.32584761e-02,4.38392056e-01,4.16446689e-03
303,4.42742295e-01,7.40446535e-02,4.38566314e-01,4.17598063e-03
304,4.42978696e-01,7.48118241e-02,4.38790898e-01,4.18779880e-03
305,4.43218522e-01,7.56283544e-02,4.39018376e-01,4.20014598e-03
306,4.43482343e-01,7.64203534e-02,4.39269338e-01,4.21300548e-03
307,4.43726182e-01,7.72515694e-02,4.39499768e-01,4.22641385e-03
308,4.43954472e-01,7.80386328e-02,4.39714050e-01,4.24042140e-03
309,4.44167775e-01,7.88709899e-02,4.39912784e-01,4.25499099e-03
310,4.44374368e-01,7.96498791e-02,4.40104639e-01,4.26972895e-03
311,4.44582049e-01,8.04794997e-02,4.40297715e-01,4.28433459e-03
312,4.44779184e-01,8.12604336e-02,4.40480541e-01,4.29864332e-03
313,4.44963167e-01,8.20817151e-02,4.40650507e-01,4.31265978e-03
314,4.45145475e-01,8.28487367e-02,4.40819268e-01,4.32620697e-03
315,4.45296142e-01,8.36370303e-02,4.40956575e-01,4.33956701e-03
316,4.45447267e-01,8.43693773e-02,4.41094589e-01,4.35267813e-03
317,4.45579795e-01,8.51149464e-02,4.41214404e-01,4.36539137e-03
318,4.45712793e-01,8.58070752e-02,4.41335123e-01,4.37766966e-03
319,4.45829643e-01,8.64949137e-02,4.41440079e-01,4.38956353e-03
320,4.45952696e-01,8.71344856e-02,4.41551412e-01,4.40128351e-03
321,4.46066476e-01,8.77671793e-02,4.41653498e-01,4.41297765e-03
322,4.46193278e-01,8.83617784e-02,4.41768579e-01,4.42469819e-03
323,4.46317891e-01,8.89461405e-02,4.41881421e-01,4.43646992e-03
324,4.46460650e-01,8.95054428e-02,4.42012320e-01,4.44833068e-03
325,4.46598930e-01,9.00491360e-02,4.42138699e-01,4.46023090e-03
326,4.46741843e-01,9.05689192e-02,4.42269687e-01,4.47215658e-03
327,4.46874254e-01,9.10690446e-02,4.42390091e-01,4.48416256e-03
328,4.47017781e-01,9.15437568e-02,4.42521574e-01,4.49620632e-03
329,4.47151507e-01,9.19932008e-02,4.42643260e-01,4.50824693e-03
330,4.47295268e-01,9.24055499e-02,4.42774950e-01,4.52031826e-03
331,4.47427765e-01,9.27921568e-02,4.42895302e-01,4.53246324e-03
332,4.47564199e-01,9.31418991e-02,4.43019420e-01,4.54477960e-03
333,4.47679390e-01,9.34657147e-02,4.43122161e-01,4.55722858e-03
334,4.47797549e-01,9.37375066e-02,4.43227800e-01,4.56974920e-03
335,4.47908796e-01,9.39722692e-02,4.43326443e-01,4.58235311e-03
336,4.48029913e-01,9.41531435e-02,4.43434703e-01,4.59520961e-03
337,4.48139633e-01,9.42942408e-02,4.43531063e-01,4.60856999e-03
338,4.48259871e-01,9.43855223e-02,4.43637811e-01,4.62206007e-03
339,4.48361732e-01,9.44405468e-02,4.43726194e-01,4.63553868e-03
340,4.48468304e-01,9.44477102e-02,4.43819338e-01,4.64896567e-03
341,4.48557226e-01,9.44187558e-02,4.43894909e-01,4.66231703e-03
342,4.48647918e-01,9.43355128e-02,4.43972380e-01,4.67553817e-03
343,4.48725634e-01,9.42176779e-02,4.44037070e-01,4.68856377e-03
344,4.48814224e-01,9.40386016e-02,4.44112790e-01,4.70143424e-03
345,4.48898121e-01,9.38324357e-02,4.44183898e-01,4.71422327e-03
346,4.48993557e-01,9.35605330e-02,4.44266553e-01,4.72700433e-03
347,4.49078772e-01,9.32725240e-02,4.44338877e-01,4.73989455e-03
348,4.49175695e-01,9.29171582e-02,4.44422787e-01,4.75290875e-03
349,4.49262550e-01,9.25567511e-02,4.44496636e-01,4.76591400e-03
350,4.49361539e-01,9.21227660e-02,4.44582773e-01,4.77876622e-03
351,4.49451635e-01,9.16894483e-02,4.44660266e-01,4.79136839e-03
352,4.49560471e-01,9.11795584e-02,4.44756867e-01,4.80360434e-03
353,4.49660800e-01,9.06810731e-02,4.44845132e-01,4.81566777e-03
354,4.49776474e-01,9.01114720e-02,4.44948826e-01,4.82764863e-03
355,4.49890458e-01,8.95469459e-02,4.45050982e-01,4.83947536e-03
356,4.50003304e-01,8.89135922e-02,4.45152258e-01,4.85104597e-03
357,4.50119852e-01,8.82829340e-02,4.45257490e-01,4.86236225e-03
358,4.50217040e-01,8.75954284e-02,4.45343730e-01,4.87331079e-03
359,4.50332898e-01,8.69156125e-02,4.45448864e-01,4.88403383e-03
360,4.50420203e-01,8.61830291e-02,4.45525856e-01,4.89434686e-03
361,4.50538247e-01,8.54643902e-02,4.45633927e-01,4.90431955e-03
362,4.50618459e-01,8.46949793e-02,4.45704652e-01,4.91380696e-03
